model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name,ood_attribute,test_ood_value
biolord,givinostat,50,0.0008281207087317,5.687061,0.1937166704912696,sciplex3-hvg-top1k_50,,
biolord,alvespimycin_hcl,50,0.0005638019497514,3.9248765,0.1559196820542302,sciplex3-hvg-top1k_50,,
biolord,givinostat,50,0.0017004283345057,4.523849,0.1321339094666569,sciplex3-hvg-top1k_50,,
biolord,jnj_26854165,50,0.0914990427658093,3.25355,0.1348578061668559,sciplex3-hvg-top1k_50,,
biolord,alvespimycin_hcl,50,0.019686718137998,4.0754976,0.0957064549039341,sciplex3-hvg-top1k_50,,
biolord,dacinostat,50,0.0576456577808922,2.8473296,0.0706606883860758,sciplex3-hvg-top1k_50,,
biolord,givinostat,50,0.1121349739076713,2.9024143,0.0889691623924669,sciplex3-hvg-top1k_50,,
biolord,tanespimycin,50,0.0303306707676772,3.002952,0.0856295809565696,sciplex3-hvg-top1k_50,,
biolord,jnj_26854165,50,0.0914990427658093,3.25355,0.1348578061668559,sciplex3-hvg-top1k_50,,
biolord,jnj_26854165,50,0.0914990427658093,3.25355,0.1348578061668559,sciplex3-hvg-top1k_50,,
biolord,tak_901,50,1.3275997618336604e-05,4.427069,0.106336282631301,sciplex3-hvg-top1k_50,,
biolord,alvespimycin_hcl,50,0.019686718137998,4.0754976,0.0957064549039341,sciplex3-hvg-top1k_50,,
biolord,alvespimycin_hcl,50,0.019686718137998,4.0754976,0.0957064549039341,sciplex3-hvg-top1k_50,,
biolord,dacinostat,50,0.0576456577808922,2.8473296,0.0706606883860758,sciplex3-hvg-top1k_50,,
biolord,belinostat,50,0.1417501720171332,4.8198476,0.1042260205482137,sciplex3-hvg-top1k_50,,
biolord,belinostat,50,0.1287964185814893,5.957986,0.1660229809848806,sciplex3-hvg-top1k_50,,
biolord,tanespimycin,50,0.0016815571355024,4.1837835,0.1577199996071575,sciplex3-hvg-top1k_50,,
biolord,tanespimycin,50,0.0045599419890241,3.514872,0.0866002262077091,sciplex3-hvg-top1k_50,,
biolord,dacinostat,50,0.0861234937053023,3.7710383,0.0977137575636723,sciplex3-hvg-top1k_50,,
biolord,jnj_26854165,50,0.0881490036129025,7.7854643,0.3659887304574113,sciplex3-hvg-top1k_50,,
biolord,hesperadin,50,0.0599084271576389,6.996958,0.1990021968307662,sciplex3-hvg-top1k_50,,
biolord,hesperadin,50,0.003986337996945,4.258927,0.0771794200915331,sciplex3-hvg-top1k_50,,
biolord,tak_901,50,0.0114298301271167,6.4295726,0.1941370182706492,sciplex3-hvg-top1k_50,,
biolord,hesperadin,50,0.003986337996945,4.258927,0.0771794200915331,sciplex3-hvg-top1k_50,,
biolord,belinostat,50,0.0275117142938691,4.2991576,0.0855809123731095,sciplex3-hvg-top1k_50,,
biolord,dacinostat,50,0.0576456577808922,2.8473296,0.0706606883860758,sciplex3-hvg-top1k_50,,
biolord,tak_901,50,0.0123838925341054,4.164083,0.0774853128627703,sciplex3-hvg-top1k_50,,
biolord,flavopiridol_hcl,50,4.151796707060844e-05,3.8977506,0.0841482457188091,sciplex3-hvg-top1k_50,,
scgen,flavopiridol_hcl,50,0.47692,2.0612252,0.05953658,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,flavopiridol_hcl,50,0.44417265,2.127089,0.05044281,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,flavopiridol_hcl,50,0.1490063,2.871342,0.0787179,sciplex3-hvg-top1k_50,cell_type,K562
scgen,givinostat,50,0.073171474,4.6827435,0.11954373,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,givinostat,50,0.020722551,7.0374146,0.11373701,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,givinostat,50,0.00725093,8.180562,0.18704613,sciplex3-hvg-top1k_50,cell_type,K562
scgen,belinostat,50,0.07124433,4.1079187,0.07212966,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,belinostat,50,0.15207739,3.7165298,0.051746875,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,belinostat,50,1.9717809e-06,8.894287,0.14333795,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tak_901,50,0.06994004,2.9778578,0.09006276,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tak_901,50,0.09877267,2.7045848,0.07883449,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tak_901,50,0.112703435,2.8607268,0.08153874,sciplex3-hvg-top1k_50,cell_type,K562
scgen,jnj_26854165,50,0.030425865,1.4063427,0.2029569,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,jnj_26854165,50,0.08052029,1.2999928,0.08759982,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,jnj_26854165,50,0.010279943,1.4487667,0.29815415,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,hesperadin,50,0.14979613,2.03049,0.034547403,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,hesperadin,50,0.13855071,2.0644453,0.041034386,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,hesperadin,50,0.10828099,2.1753135,0.03155891,sciplex3-hvg-top1k_50,cell_type,K562
scgen,flavopiridol_hcl,50,0.6148286,3.0449088,0.08547904,sciplex3-hvg-top1k_50,cell_type,A549
